booking_id,passenger_id,flight_id,total_price_paid,yield_per_pax,rasm,biz_traveler_prob
PNR362875,PX1543,6E101,9215.13,4.6592,2.703607,0.85
PNR436112,PX1021,6E101,3403.19,1.7207,2.703607,0.15
PNR755516,PX1964,6E101,10967.8,5.5454,2.703607,0.15
PNR223269,PX1323,6E101,11835.58,5.9841,2.703607,0.15
PNR836369,PX1652,6E101,3539.86,1.7898,2.703607,0.15
PNR584893,PX1993,6E101,4856.97,2.4557,2.703607,0.15
PNR911567,PX1839,6E101,6172.56,3.1209,2.703607,0.15
PNR790332,PX1290,6E101,6379.53,3.2255,2.703607,0.15
PNR249258,PX1302,6E101,9499.68,4.8031,2.703607,0.15
PNR951359,PX1736,6E101,3587.13,1.8137,2.703607,0.15
PNR165878,PX1148,6E101,7078.81,3.5791,2.703607,0.15
PNR712440,PX1157,6E101,4950.9,2.5032,2.703607,0.15
PNR595414,PX1335,6E101,10487.52,5.3025,2.703607,0.15
PNR432749,PX1765,6E101,11784.91,5.9585,2.703607,0.15
PNR969412,PX1320,6E101,10528.18,5.3231,2.703607,0.15
PNR493749,PX1563,6E101,10034.57,5.0735,2.703607,0.5
PNR152346,PX1082,6E101,6473.38,3.273,2.703607,0.15
PNR898056,PX1651,6E101,10545.33,5.3317,2.703607,0.5
PNR819409,PX1823,6E101,5968.89,3.0179,2.703607,0.15
PNR940925,PX1960,6E101,6412.86,3.2424,2.703607,0.15
PNR605732,PX1978,6E101,7684.34,3.8852,2.703607,0.15
PNR608669,PX1170,6E101,9841.95,4.9761,2.703607,0.15
PNR302472,PX1399,6E101,3728.68,1.8852,2.703607,0.5
PNR487672,PX1144,6E101,9428.52,4.7671,2.703607,0.85
PNR577770,PX1486,6E101,3965.88,2.0052,2.703607,0.15
PNR837609,PX1837,6E101,8282.95,4.1879,2.703607,0.15
PNR385885,PX1312,6E101,4400.91,2.2251,2.703607,0.15
PNR556223,PX1783,6E101,11345.48,5.7363,2.703607,0.15
PNR238084,PX1126,6E101,12149.54,6.1428,2.703607,0.15
PNR940656,PX1471,6E101,5506.85,2.7843,2.703607,0.15
PNR300607,PX1286,6E101,6555.96,3.3147,2.703607,0.15
PNR175279,PX1285,6E101,11877.55,6.0053,2.703607,0.85
PNR738929,PX1217,6E101,10294.23,5.2048,2.703607,0.85
PNR469119,PX1950,6E101,4345.26,2.197,2.703607,0.85
PNR993667,PX1347,6E101,5106.93,2.5821,2.703607,0.85
PNR891315,PX1647,6E101,8923.6,4.5118,2.703607,0.85
PNR318413,PX1081,6E101,10869.97,5.4959,2.703607,0.85
PNR327327,PX1212,6E101,6165.63,3.1174,2.703607,0.85
PNR194094,PX1994,6E101,10976.56,5.5498,2.703607,0.85
PNR321471,PX1766,6E101,6564.56,3.3191,2.703607,0.85
PNR803120,PX1787,6E101,8663.47,4.3803,2.703607,0.85
PNR180513,PX1375,6E101,8358.83,4.2262,2.703607,0.85
PNR941671,PX1291,6E101,8583.03,4.3396,2.703607,0.85
PNR240789,PX1500,6E101,5010.2,2.5332,2.703607,0.85
PNR955729,PX1531,6E101,13193.99,6.6709,2.703607,0.85
PNR355441,PX1466,6E101,6203.72,3.1366,2.703607,0.85
PNR853029,PX1475,6E101,7879.18,3.9837,2.703607,0.85
PNR384140,PX1856,6E101,10110.41,5.1119,2.703607,0.85
PNR474415,PX1635,6E101,16344.6,8.2639,2.703607,0.85
PNR590864,PX1657,6E101,10861.9,5.4918,2.703607,0.85
PNR820215,PX1912,6E101,9689.54,4.8991,2.703607,0.85
PNR753956,PX1941,6E101,9165.09,4.6339,2.703607,0.85
PNR230769,PX1334,6E105,6974.84,2.8723,2.298607,0.15
PNR269835,PX1498,6E105,9203.73,3.7902,2.298607,0.15
PNR751394,PX1888,6E105,8656.73,3.5649,2.298607,0.15
PNR211758,PX1896,6E105,9497.28,3.911,2.298607,0.15
PNR591689,PX1629,6E105,4128.69,1.7002,2.298607,0.15
PNR949965,PX1037,6E105,9348.23,3.8497,2.298607,0.85
PNR472250,PX1463,6E105,9352.28,3.8513,2.298607,0.15
PNR887285,PX1051,6E105,10965.11,4.5155,2.298607,0.15
PNR217624,PX1008,6E105,9371.86,3.8594,2.298607,0.15
PNR649983,PX1630,6E105,8498.82,3.4999,2.298607,0.15
PNR725254,PX1666,6E105,12492.24,5.1444,2.298607,0.15
PNR493010,PX1423,6E105,9212.88,3.7939,2.298607,0.15
PNR940193,PX1137,6E105,12468.11,5.1345,2.298607,0.15
PNR663337,PX1955,6E105,6864.03,2.8267,2.298607,0.15
PNR267682,PX1840,6E105,12622.0,5.1978,2.298607,0.15
PNR412577,PX1805,6E105,9485.41,3.9062,2.298607,0.15
PNR472367,PX1711,6E105,13160.36,5.4195,2.298607,0.15
PNR755904,PX1531,6E105,4363.5,1.7969,2.298607,0.15
PNR389397,PX1471,6E105,12523.33,5.1572,2.298607,0.15
PNR570540,PX1649,6E105,8743.26,3.6005,2.298607,0.15
PNR555462,PX1201,6E105,6077.71,2.5028,2.298607,0.15
PNR503271,PX1061,6E105,7899.18,3.2529,2.298607,0.15
PNR444678,PX1187,6E105,7256.28,2.9882,2.298607,0.15
PNR956298,PX1638,6E105,12042.93,4.9594,2.298607,0.15
PNR723739,PX1039,6E105,8931.51,3.6781,2.298607,0.15
PNR826320,PX1594,6E105,9360.55,3.8547,2.298607,0.15
PNR578463,PX1952,6E105,6052.75,2.4926,2.298607,0.15
PNR360073,PX1107,6E105,8984.21,3.6998,2.298607,0.15
PNR241930,PX1019,6E105,11940.2,4.9171,2.298607,0.15
PNR684447,PX1144,6E105,11004.01,4.5315,2.298607,0.15
PNR123122,PX1459,6E105,7794.08,3.2097,2.298607,0.15
PNR791416,PX1630,6E105,8536.38,3.5153,2.298607,0.15
PNR748136,PX1159,6E105,5004.53,2.0609,2.298607,0.15
PNR449156,PX1570,6E105,9612.95,3.9587,2.298607,0.15
PNR612667,PX1261,6E105,8458.37,3.4832,2.298607,0.15
PNR946621,PX1486,6E105,9826.21,4.0465,2.298607,0.15
PNR642482,PX1572,6E105,10819.41,4.4555,2.298607,0.15
PNR101378,PX1894,6E105,3985.69,1.6413,2.298607,0.15
PNR343950,PX1802,6E105,11463.1,4.7206,2.298607,0.15
PNR964716,PX1147,6E105,10115.81,4.1658,2.298607,0.15
PNR789976,PX1888,6E105,11174.83,4.6019,2.298607,0.15
PNR346004,PX1428,6E105,10025.73,4.1287,2.298607,0.15
PNR782907,PX1382,6E105,6152.37,2.5336,2.298607,0.15
PNR338084,PX1563,6E105,8281.18,3.4102,2.298607,0.15
PNR707404,PX1038,6E105,9265.66,3.8157,2.298607,0.15
PNR386420,PX1691,6E105,9290.95,3.8261,2.298607,0.85
PNR646999,PX1128,6E105,5252.85,2.1632,2.298607,0.15
PNR169689,PX1294,6E105,9199.44,3.7884,2.298607,0.15
PNR754986,PX1214,6E105,10210.31,4.2047,2.298607,0.15
PNR535178,PX1178,6E105,10534.77,4.3383,2.298607,0.15
PNR584094,PX1698,6E105,8294.74,3.4158,2.298607,0.15
PNR644536,PX1850,6E105,7074.56,2.9134,2.298607,0.15
PNR235202,PX1971,6E105,8128.16,3.3472,2.298607,0.15
PNR436830,PX1632,6E105,6468.9,2.6639,2.298607,0.15
PNR456035,PX1944,6E105,10974.68,4.5194,2.298607,0.15
PNR967419,PX1149,6E105,9568.18,3.9402,2.298607,0.15
PNR261181,PX1839,6E105,6697.2,2.758,2.298607,0.15
PNR908415,PX1650,6E105,4146.03,1.7074,2.298607,0.15
PNR543861,PX1138,6E105,6884.56,2.8351,2.298607,0.15
PNR592486,PX1766,6E105,6095.5,2.5102,2.298607,0.15
PNR820541,PX1208,6E105,4457.88,1.8358,2.298607,0.15
PNR671267,PX1019,6E105,12496.48,5.1461,2.298607,0.15
PNR739243,PX1459,6E105,6574.75,2.7075,2.298607,0.15
PNR386905,PX1035,6E105,9989.77,4.1139,2.298607,0.15
PNR669899,PX1780,6E105,6256.7,2.5766,2.298607,0.15
PNR208290,PX1584,6E105,8262.94,3.4027,2.298607,0.15
PNR430151,PX1109,6E105,9541.11,3.9291,2.298607,0.15
PNR360797,PX1984,6E105,12238.42,5.0399,2.298607,0.15
PNR873775,PX1382,6E105,9519.82,3.9203,2.298607,0.15
PNR346302,PX1863,6E105,11700.74,4.8184,2.298607,0.15
PNR826933,PX1537,6E105,7923.87,3.2631,2.298607,0.15
PNR714974,PX1208,6E105,9785.81,4.0299,2.298607,0.15
PNR805347,PX1871,6E105,11549.29,4.7561,2.298607,0.15
PNR559546,PX1176,6E105,10033.0,4.1317,2.298607,0.15
PNR896186,PX1002,6E105,9381.66,3.8634,2.298607,0.85
PNR505818,PX1922,6E105,3434.23,1.4142,2.298607,0.15
PNR664916,PX1831,6E105,8460.47,3.4841,2.298607,0.15
PNR998521,PX1010,6E105,9203.99,3.7903,2.298607,0.15
PNR878356,PX1378,6E105,6302.01,2.5952,2.298607,0.15
PNR742105,PX1179,6E105,9368.28,3.8579,2.298607,0.15
PNR854242,PX1239,6E105,8957.78,3.6889,2.298607,0.15
PNR965059,PX1463,6E105,10834.49,4.4617,2.298607,0.15
PNR840241,PX1489,6E105,5861.44,2.4138,2.298607,0.15
PNR295880,PX1598,6E105,6301.59,2.595,2.298607,0.5
PNR889579,PX1634,6E105,5510.04,2.2691,2.298607,0.15
PNR433226,PX1425,6E105,11435.44,4.7092,2.298607,0.15
PNR940081,PX1892,6E105,7448.55,3.0674,2.298607,0.85
PNR587310,PX1430,6E105,11960.43,4.9254,2.298607,0.15
PNR301188,PX1250,6E105,3168.73,1.3049,2.298607,0.15
PNR658339,PX1255,6E105,8357.12,3.4415,2.298607,0.15
PNR267133,PX1359,6E105,10257.69,4.2242,2.298607,0.85
PNR964954,PX1765,6E105,10633.91,4.3791,2.298607,0.15
PNR252528,PX1683,6E105,10178.69,4.1917,2.298607,0.15
PNR447100,PX1011,6E105,11777.57,4.8501,2.298607,0.15
PNR298260,PX1025,6E105,7864.18,3.2385,2.298607,0.15
PNR545689,PX1010,6E105,6761.59,2.7845,2.298607,0.15
PNR100052,PX1663,6E105,7441.85,3.0646,2.298607,0.15
PNR338502,PX1716,6E105,9711.25,3.9992,2.298607,0.15
PNR875395,PX1672,6E105,7826.24,3.2229,2.298607,0.5
PNR867489,PX1255,6E105,5220.4,2.1498,2.298607,0.15
PNR433984,PX1432,6E105,5970.44,2.4587,2.298607,0.15
PNR847902,PX1390,6E105,11552.12,4.7572,2.298607,0.15
PNR265331,PX1935,6E105,12041.28,4.9587,2.298607,0.5
PNR710808,PX1416,6E105,4877.6,2.0086,2.298607,0.15
PNR951538,PX1667,6E105,6993.55,2.88,2.298607,0.85
PNR662165,PX1812,6E105,9208.49,3.7921,2.298607,0.85
PNR148760,PX1113,6E105,11933.19,4.9142,2.298607,0.85
PNR590458,PX1652,6E105,4991.65,2.0556,2.298607,0.85
PNR434355,PX1295,6E105,8444.49,3.4775,2.298607,0.85
PNR181174,PX1346,6E105,17596.46,7.2463,2.298607,0.85
PNR759652,PX1715,6E105,18774.67,7.7315,2.298607,0.85
PNR673517,PX1034,6E105,6445.62,2.6543,2.298607,0.85
PNR646936,PX1341,6E105,15078.17,6.2093,2.298607,0.85
PNR433965,PX1878,6E109,11110.31,6.8082,3.10486,0.15
PNR702028,PX1290,6E109,10831.9,6.6376,3.10486,0.15
PNR576151,PX1326,6E109,7065.7,4.3297,3.10486,0.15
PNR776053,PX1781,6E109,5512.31,3.3778,3.10486,0.15
PNR163721,PX1296,6E109,10436.19,6.3951,3.10486,0.15
PNR829366,PX1684,6E109,5756.62,3.5276,3.10486,0.15
PNR448985,PX1452,6E109,8240.47,5.0496,3.10486,0.15
PNR441385,PX1973,6E109,10976.04,6.7259,3.10486,0.15
PNR914364,PX1241,6E109,8868.61,5.4345,3.10486,0.15
PNR426060,PX1737,6E109,9412.77,5.768,3.10486,0.15
PNR972787,PX1577,6E109,9900.61,6.0669,3.10486,0.15
PNR859788,PX1019,6E109,4940.9,3.0277,3.10486,0.15
PNR855344,PX1656,6E109,3942.34,2.4158,3.10486,0.15
PNR577028,PX1126,6E109,10442.86,6.3992,3.10486,0.15
PNR802253,PX1944,6E109,6014.23,3.6854,3.10486,0.15
PNR801149,PX1550,6E109,5743.38,3.5194,3.10486,0.15
PNR173077,PX1820,6E109,8124.42,4.9785,3.10486,0.15
PNR895907,PX1451,6E109,10145.94,6.2172,3.10486,0.15
PNR370651,PX1202,6E109,8009.66,4.9082,3.10486,0.15
PNR439331,PX1946,6E109,9542.59,5.8475,3.10486,0.15
PNR676009,PX1637,6E109,5918.45,3.6267,3.10486,0.15
PNR278400,PX1955,6E109,11761.49,7.2072,3.10486,0.15
PNR869521,PX1424,6E109,6538.25,4.0065,3.10486,0.15
PNR128687,PX1809,6E109,8777.15,5.3785,3.10486,0.15
PNR397378,PX1673,6E109,6127.44,3.7548,3.10486,0.15
PNR343145,PX1003,6E109,8261.96,5.0628,3.10486,0.15
PNR243775,PX1105,6E109,8268.15,5.0666,3.10486,0.15
PNR705254,PX1635,6E109,10094.8,6.1859,3.10486,0.15
PNR345659,PX1729,6E109,4695.88,2.8775,3.10486,0.15
PNR517687,PX1998,6E109,10787.76,6.6105,3.10486,0.15
PNR891669,PX1351,6E109,11452.19,7.0177,3.10486,0.15
PNR151297,PX1707,6E109,4942.96,3.029,3.10486,0.15
PNR589154,PX1719,6E109,8403.48,5.1495,3.10486,0.85
PNR214115,PX1513,6E109,6544.49,4.0103,3.10486,0.15
PNR854446,PX1821,6E109,9603.29,5.8847,3.10486,0.15
PNR516377,PX1399,6E109,7323.94,4.488,3.10486,0.15
PNR346805,PX1903,6E109,5118.62,3.1366,3.10486,0.15
PNR546471,PX1442,6E109,3599.2,2.2055,3.10486,0.15
PNR751804,PX1529,6E109,3536.19,2.1669,3.10486,0.15
PNR843674,PX1440,6E109,11548.36,7.0766,3.10486,0.15
PNR309026,PX1988,6E109,5267.11,3.2276,3.10486,0.15
PNR503867,PX1286,6E109,8985.42,5.5061,3.10486,0.15
PNR867402,PX1959,6E109,5448.49,3.3387,3.10486,0.15
PNR485963,PX1095,6E109,9754.4,5.9773,3.10486,0.15
PNR534754,PX1887,6E109,9978.51,6.1146,3.10486,0.15
PNR862964,PX1165,6E109,10011.11,6.1346,3.10486,0.15
PNR186216,PX1109,6E109,10201.04,6.251,3.10486,0.15
PNR843705,PX1106,6E109,3818.81,2.3401,3.10486,0.15
PNR118326,PX1696,6E109,8583.51,5.2598,3.10486,0.15
PNR106851,PX1139,6E109,11973.67,7.3372,3.10486,0.15
PNR569948,PX1480,6E109,7714.1,4.7271,3.10486,0.15
PNR467679,PX1166,6E109,4899.37,3.0022,3.10486,0.15
PNR322602,PX1536,6E109,5447.38,3.3381,3.10486,0.15
PNR431217,PX1513,6E109,7331.84,4.4928,3.10486,0.15
PNR395979,PX1214,6E109,8661.94,5.3079,3.10486,0.15
PNR239846,PX1570,6E109,10679.43,6.5442,3.10486,0.15
PNR785694,PX1369,6E109,11507.68,7.0517,3.10486,0.15
PNR450543,PX1223,6E109,10212.78,6.2582,3.10486,0.15
PNR547545,PX1727,6E109,3936.78,2.4124,3.10486,0.15
PNR909629,PX1270,6E109,12427.64,7.6154,3.10486,0.15
PNR110428,PX1703,6E109,5115.39,3.1346,3.10486,0.15
PNR971492,PX1956,6E109,8686.38,5.3229,3.10486,0.15
PNR100587,PX1440,6E109,9018.65,5.5265,3.10486,0.15
PNR394557,PX1997,6E109,8290.57,5.0803,3.10486,0.15
PNR475009,PX1701,6E109,4172.44,2.5568,3.10486,0.15
PNR859642,PX1231,6E109,4517.24,2.7681,3.10486,0.15
PNR706094,PX1399,6E109,8892.77,5.4493,3.10486,0.15
PNR166616,PX1677,6E109,4750.5,2.911,3.10486,0.15
PNR377116,PX1638,6E109,11141.18,6.8271,3.10486,0.15
PNR999878,PX1141,6E109,10268.77,6.2925,3.10486,0.15
PNR416479,PX1641,6E109,11370.69,6.9678,3.10486,0.15
PNR956519,PX1113,6E109,10605.12,6.4986,3.10486,0.15
PNR206574,PX1824,6E109,10143.35,6.2157,3.10486,0.15
PNR183438,PX1950,6E109,3538.9,2.1686,3.10486,0.15
PNR829678,PX1356,6E109,6398.91,3.9211,3.10486,0.15
PNR540870,PX1127,6E109,10202.18,6.2517,3.10486,0.15
PNR148377,PX1797,6E109,8042.88,4.9285,3.10486,0.15
PNR118656,PX1363,6E109,8194.32,5.0213,3.10486,0.15
PNR397597,PX1155,6E109,9787.82,5.9978,3.10486,0.15
PNR503543,PX1148,6E109,9291.23,5.6935,3.10486,0.15
PNR356246,PX1308,6E109,4232.84,2.5938,3.10486,0.15
PNR863544,PX1354,6E109,7581.62,4.6459,3.10486,0.15
PNR471295,PX1858,6E109,10917.64,6.6901,3.10486,0.15
PNR839588,PX1551,6E109,5999.8,3.6766,3.10486,0.15
PNR734079,PX1266,6E109,7876.1,4.8263,3.10486,0.15
PNR794994,PX1903,6E109,7315.83,4.483,3.10486,0.15
PNR863673,PX1824,6E109,5680.27,3.4808,3.10486,0.15
PNR468113,PX1086,6E109,10623.43,6.5098,3.10486,0.15
PNR852866,PX1022,6E109,12617.11,7.7315,3.10486,0.15
PNR295423,PX1175,6E109,10158.09,6.2247,3.10486,0.15
PNR262954,PX1536,6E109,3329.77,2.0404,3.10486,0.15
PNR767125,PX1226,6E109,5958.84,3.6515,3.10486,0.85
PNR364058,PX1976,6E109,8419.51,5.1593,3.10486,0.15
PNR254832,PX1809,6E109,6960.08,4.265,3.10486,0.15
PNR944040,PX1143,6E109,4751.15,2.9114,3.10486,0.15
PNR335489,PX1917,6E109,5727.66,3.5098,3.10486,0.15
PNR846041,PX1239,6E109,5538.44,3.3939,3.10486,0.15
PNR883133,PX1011,6E109,9642.75,5.9089,3.10486,0.85
PNR228938,PX1149,6E109,9131.28,5.5955,3.10486,0.85
PNR277469,PX1865,6E109,8458.39,5.1831,3.10486,0.85
PNR399338,PX1467,6E109,14704.77,9.0108,3.10486,0.85
PNR509699,PX1630,6E109,18874.98,11.5662,3.10486,0.85
PNR973535,PX1629,6E109,9094.92,5.5732,3.10486,0.85
PNR331883,PX1538,6E109,17374.8,10.647,3.10486,0.85
PNR337147,PX1438,6E109,7697.12,4.7167,3.10486,0.85
PNR220618,PX1552,6E109,14629.45,8.9647,3.10486,0.85
PNR708543,PX1603,6E109,16376.38,10.0351,3.10486,0.85
PNR866545,PX1533,6E109,14763.83,9.047,3.10486,0.85
PNR572982,PX1161,6E113,4700.0,3.2429,4.123859,0.15
PNR848914,PX1270,6E113,10383.29,7.1642,4.123859,0.15
PNR665849,PX1819,6E113,4397.43,3.0341,4.123859,0.15
PNR657932,PX1588,6E113,7274.13,5.019,4.123859,0.15
PNR844968,PX1355,6E113,4665.11,3.2188,4.123859,0.15
PNR962497,PX1183,6E113,6640.19,4.5816,4.123859,0.15
PNR635514,PX1118,6E113,4887.07,3.372,4.123859,0.15
PNR810487,PX1307,6E113,13026.59,8.988,4.123859,0.15
PNR761791,PX1067,6E113,5483.41,3.7834,4.123859,0.15
PNR460426,PX1333,6E113,5939.57,4.0982,4.123859,0.15
PNR554435,PX1412,6E113,10763.37,7.4265,4.123859,0.15
PNR960101,PX1215,6E113,11030.37,7.6107,4.123859,0.15
PNR141591,PX1689,6E113,5490.52,3.7883,4.123859,0.15
PNR685130,PX1470,6E113,4810.27,3.319,4.123859,0.15
PNR254006,PX1352,6E113,6656.0,4.5925,4.123859,0.15
PNR118273,PX1248,6E113,6108.14,4.2145,4.123859,0.15
PNR682129,PX1212,6E113,13109.53,9.0453,4.123859,0.15
PNR462985,PX1910,6E113,6316.53,4.3583,4.123859,0.15
PNR290868,PX1095,6E113,10942.04,7.5498,4.123859,0.15
PNR576332,PX1813,6E113,6586.4,4.5445,4.123859,0.15
PNR464394,PX1590,6E113,10526.36,7.2629,4.123859,0.15
PNR801235,PX1815,6E113,5795.08,3.9985,4.123859,0.15
PNR277776,PX1589,6E113,4998.51,3.4489,4.123859,0.15
PNR704412,PX1830,6E113,10185.82,7.028,4.123859,0.15
PNR888483,PX1977,6E113,12870.33,8.8802,4.123859,0.15
PNR855610,PX1906,6E113,8081.76,5.5762,4.123859,0.15
PNR538289,PX1833,6E113,10911.79,7.5289,4.123859,0.15
PNR962505,PX1846,6E113,9325.78,6.4346,4.123859,0.15
PNR854307,PX1484,6E113,11671.13,8.0528,4.123859,0.15
PNR913480,PX1124,6E113,5304.11,3.6597,4.123859,0.15
PNR755959,PX1357,6E113,8277.15,5.711,4.123859,0.15
PNR314069,PX1465,6E113,10449.17,7.2097,4.123859,0.15
PNR577132,PX1984,6E113,3203.72,2.2105,4.123859,0.15
PNR684608,PX1288,6E113,8802.76,6.0737,4.123859,0.15
PNR102012,PX1776,6E113,12938.47,8.9272,4.123859,0.15
PNR400352,PX1875,6E113,5634.22,3.8875,4.123859,0.15
PNR800743,PX1505,6E113,5884.76,4.0603,4.123859,0.15
PNR610992,PX1911,6E113,8287.01,5.7178,4.123859,0.15
PNR615510,PX1176,6E113,7518.26,5.1874,4.123859,0.15
PNR722425,PX1261,6E113,13544.51,9.3454,4.123859,0.15
PNR146506,PX1768,6E113,7832.88,5.4045,4.123859,0.15
PNR581630,PX1890,6E113,11821.88,8.1568,4.123859,0.15
PNR946871,PX1894,6E113,6664.92,4.5986,4.123859,0.15
PNR256879,PX1560,6E113,11424.78,7.8828,4.123859,0.15
PNR905686,PX1889,6E113,6322.76,4.3626,4.123859,0.15
PNR463167,PX1193,6E113,11196.08,7.725,4.123859,0.15
PNR627754,PX1488,6E113,9103.49,6.2812,4.123859,0.15
PNR626966,PX1950,6E113,12029.09,8.2998,4.123859,0.15
PNR937313,PX1314,6E113,9634.79,6.6478,4.123859,0.15
PNR618467,PX1380,6E113,3409.99,2.3528,4.123859,0.15
PNR955303,PX1963,6E113,11715.28,8.0833,4.123859,0.15
PNR529000,PX1152,6E113,11741.62,8.1014,4.123859,0.15
PNR831060,PX1471,6E113,7651.77,5.2795,4.123859,0.15
PNR134512,PX1479,6E113,10188.37,7.0297,4.123859,0.15
PNR465315,PX1800,6E113,9116.98,6.2905,4.123859,0.15
PNR732591,PX1847,6E113,8969.19,6.1885,4.123859,0.15
PNR256879,PX1021,6E113,8827.19,6.0906,4.123859,0.15
PNR714612,PX1698,6E113,3979.46,2.7457,4.123859,0.15
PNR376786,PX1088,6E113,11337.51,7.8226,4.123859,0.15
PNR974683,PX1674,6E113,6646.7,4.5861,4.123859,0.85
PNR279151,PX1103,6E113,7174.09,4.95,4.123859,0.15
PNR480630,PX1132,6E113,9676.51,6.6766,4.123859,0.15
PNR443750,PX1366,6E113,6761.17,4.665,4.123859,0.15
PNR820095,PX1315,6E113,12926.69,8.9191,4.123859,0.15
PNR782439,PX1124,6E113,5645.49,3.8953,4.123859,0.15
PNR552249,PX1311,6E113,8957.5,6.1805,4.123859,0.15
PNR563790,PX1958,6E113,5847.95,4.0349,4.123859,0.15
PNR218504,PX1515,6E113,11290.46,7.7902,4.123859,0.15
PNR300389,PX1579,6E113,4377.73,3.0205,4.123859,0.15
PNR159733,PX1742,6E113,5035.44,3.4743,4.123859,0.85
PNR983084,PX1984,6E113,9262.47,6.3909,4.123859,0.15
PNR698306,PX1996,6E113,6061.89,4.1826,4.123859,0.15
PNR474203,PX1250,6E113,3972.46,2.7409,4.123859,0.15
PNR588847,PX1923,6E113,10925.96,7.5387,4.123859,0.15
PNR696425,PX1091,6E113,7179.99,4.954,4.123859,0.15
