booking_id,passenger_id,flight_id,origin_airport,destination_airport,booking_date,travel_date,fare_class,base_fare,taxes,ancillary_revenue,total_price_paid,discount_applied,booking_channel,passenger_count,seat_number,booking_status,cancellation_date,payment_method,days_before_departure
PNR112233,PX1119,6E448,AMD,CCU,2026-02-17 15:45:00,2026-02-26,Economy,8682.85,434.14,0,9116.99,0.0,Mobile App,1,10D,Confirmed,,Credit Card,9
PNR951041,PX1686,6E448,AMD,CCU,2026-02-20 15:45:00,2026-02-26,Economy,6686.66,334.33,350,7370.99,0.0,Mobile App,1,29C,Confirmed,,Credit Card,6
PNR568520,PX1842,6E448,AMD,CCU,2026-01-19 15:45:00,2026-02-26,Business,9700.5,485.03,0,10185.53,0.0,Web,1,23E,Confirmed,,UPI,38
PNR945611,PX1087,6E448,AMD,CCU,2026-02-06 15:45:00,2026-02-26,Economy,7819.07,390.95,0,8210.03,0.0,Mobile App,1,29A,Confirmed,,Credit Card,20
PNR722650,PX1992,6E448,AMD,CCU,2026-02-02 15:45:00,2026-02-26,Economy,11403.52,570.18,0,11973.69,0.0,Web,1,25C,Confirmed,,Credit Card,24
PNR440975,PX1115,6E448,AMD,CCU,2026-01-21 15:45:00,2026-02-26,Economy,4531.34,226.57,350,5107.91,0.0,Web,1,10F,Confirmed,,UPI,36
PNR847967,PX1704,6E448,AMD,CCU,2026-01-19 15:45:00,2026-02-26,Premium,11963.49,598.17,600,13161.67,0.0,Web,1,28B,Confirmed,,UPI,38
PNR590864,PX1657,6E101,AMD,GOI,2026-02-08 12:15:00,2026-02-09,Economy,10011.33,500.57,350,10861.9,0.0,Mobile App,1,11A,Confirmed,,UPI,1
PNR503910,PX1447,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,4329.21,216.46,1200,5745.67,0.0,Web,1,22B,Confirmed,,Credit Card,40
PNR605732,PX1978,6E101,AMD,GOI,2026-01-29 12:15:00,2026-02-09,Economy,6746.99,337.35,600,7684.34,0.0,Mobile App,1,4F,Confirmed,,UPI,11
PNR782159,PX1437,6E101,AMD,GOI,2026-01-09 12:15:00,2026-02-09,Economy,6814.53,340.73,1200,8355.26,0.0,Mobile App,1,17F,Confirmed,,Credit Card,31
PNR819409,PX1823,6E101,AMD,GOI,2026-01-28 12:15:00,2026-02-09,Economy,4541.8,227.09,1200,5968.89,0.0,Web,1,18F,Confirmed,,Credit Card,12
PNR136331,PX1966,6E101,AMD,GOI,2026-01-06 12:15:00,2026-02-09,Economy,5651.6,282.58,600,6534.18,0.0,Web,1,16D,Confirmed,,Credit Card,34
PNR556223,PX1783,6E101,AMD,GOI,2026-02-02 12:15:00,2026-02-09,Economy,10233.79,511.69,600,11345.48,0.0,Web,1,10E,Confirmed,,Credit Card,7
PNR955729,PX1531,6E101,AMD,GOI,2026-02-06 12:15:00,2026-02-09,Economy,11422.84,571.14,1200,13193.99,0.0,Mobile App,1,11A,Confirmed,,Credit Card,3
PNR805752,PX1281,6E101,AMD,GOI,2026-01-01 12:15:00,2026-02-09,Economy,11245.91,562.3,350,12158.21,0.0,Mobile App,1,9D,Confirmed,,UPI,39
PNR940925,PX1960,6E101,AMD,GOI,2026-01-28 12:15:00,2026-02-09,Economy,6107.49,305.37,0,6412.86,0.0,Web,1,22A,Confirmed,,Credit Card,12
PNR803120,PX1787,6E101,AMD,GOI,2026-02-05 12:15:00,2026-02-09,Economy,7679.5,383.97,600,8663.47,0.0,Mobile App,1,8B,Confirmed,,Credit Card,4
PNR983204,PX1261,6E101,AMD,GOI,2026-01-15 12:15:00,2026-02-09,Economy,4716.07,235.8,350,5301.87,0.0,Mobile App,1,22F,Confirmed,,Credit Card,25
PNR751084,PX1447,6E101,AMD,GOI,2026-01-05 12:15:00,2026-02-09,Economy,3312.43,165.62,0,3478.05,0.0,Web,1,8C,Confirmed,,UPI,35
PNR623484,PX1440,6E101,AMD,GOI,2026-01-20 12:15:00,2026-02-09,Economy,4196.74,209.84,350,4756.57,0.0,OTA,1,29F,Confirmed,,Credit Card,20
PNR231905,PX1292,6E101,AMD,GOI,2026-01-02 12:15:00,2026-02-09,Premium,10345.0,517.25,0,10862.25,0.0,Web,1,11F,Confirmed,,UPI,38
PNR120558,PX1662,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,3549.13,177.46,600,4326.59,0.0,Mobile App,1,14F,Confirmed,,UPI,40
PNR725950,PX1760,6E101,AMD,GOI,2026-01-21 12:15:00,2026-02-09,Economy,3204.57,160.23,350,3714.8,0.0,Mobile App,1,14D,Confirmed,,UPI,19
PNR362875,PX1543,6E101,AMD,GOI,2026-01-21 12:15:00,2026-02-09,Business,8442.98,422.15,350,9215.13,0.0,Web,1,3E,Confirmed,,UPI,19
PNR453131,PX1457,6E101,AMD,GOI,2026-01-04 12:15:00,2026-02-09,Economy,4376.68,218.83,350,4945.52,0.0,OTA,1,8E,Confirmed,,UPI,36
PNR180513,PX1375,6E101,AMD,GOI,2026-02-05 12:15:00,2026-02-09,Economy,6817.94,340.9,1200,8358.83,0.0,Web,1,22A,Confirmed,,Credit Card,4
PNR175279,PX1285,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Economy,10978.62,548.93,350,11877.55,0.0,Web,1,27A,Confirmed,,Credit Card,5
PNR851146,PX1971,6E101,AMD,GOI,2025-12-30 12:15:00,2026-02-09,Business,3619.69,180.98,350,4150.67,0.0,Mobile App,1,20C,Confirmed,,Credit Card,41
PNR661342,PX1111,6E101,AMD,GOI,2026-01-11 12:15:00,2026-02-09,Economy,3832.32,191.62,0,4023.93,0.0,Mobile App,1,16D,Confirmed,,Credit Card,29
PNR296860,PX1448,6E101,AMD,GOI,2026-01-02 12:15:00,2026-02-09,Economy,6433.8,321.69,1200,7955.48,0.0,Mobile App,1,22A,Confirmed,,UPI,38
PNR902872,PX1189,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Premium,7844.04,392.2,0,8236.24,0.0,Mobile App,1,4E,Confirmed,,Credit Card,40
PNR320759,PX1563,6E101,AMD,GOI,2026-01-16 12:15:00,2026-02-09,Economy,4373.69,218.68,1200,5792.38,0.0,OTA,1,24C,Confirmed,,UPI,24
PNR235450,PX1120,6E101,AMD,GOI,2026-01-20 12:15:00,2026-02-09,Economy,6694.32,334.72,1200,8229.04,0.0,Mobile App,1,19E,Confirmed,,Credit Card,20
PNR300607,PX1286,6E101,AMD,GOI,2026-02-03 12:15:00,2026-02-09,Economy,6243.77,312.19,0,6555.96,0.0,Mobile App,1,18A,Confirmed,,UPI,6
PNR432749,PX1765,6E101,AMD,GOI,2026-01-26 12:15:00,2026-02-09,Economy,10652.29,532.61,600,11784.91,0.0,Web,1,27E,Confirmed,,Credit Card,14
PNR790332,PX1290,6E101,AMD,GOI,2026-01-23 12:15:00,2026-02-09,Economy,5742.41,287.12,350,6379.53,0.0,Mobile App,1,28C,Confirmed,,Net Banking,17
PNR876249,PX1475,6E101,AMD,GOI,2026-01-09 12:15:00,2026-02-09,Economy,10029.04,501.45,0,10530.49,0.0,Web,1,8D,Confirmed,,UPI,31
PNR384140,PX1856,6E101,AMD,GOI,2026-02-07 12:15:00,2026-02-09,Economy,9295.63,464.78,350,10110.41,0.0,Mobile App,1,4B,Confirmed,,UPI,2
PNR951359,PX1736,6E101,AMD,GOI,2026-01-24 12:15:00,2026-02-09,Economy,3082.98,154.15,350,3587.13,0.0,Web,1,19F,Confirmed,,UPI,16
PNR544554,PX1456,6E101,AMD,GOI,2025-12-28 12:15:00,2026-02-09,Economy,8658.32,432.92,350,9441.24,0.0,OTA,1,6C,Confirmed,,UPI,43
PNR570389,PX1304,6E101,AMD,GOI,2026-01-15 12:15:00,2026-02-09,Economy,11334.3,566.72,0,11901.02,0.0,Mobile App,1,5C,Confirmed,,UPI,25
PNR664359,PX1839,6E101,AMD,GOI,2026-01-05 12:15:00,2026-02-09,Economy,9256.66,462.83,0,9719.49,0.0,Mobile App,1,22C,Confirmed,,Credit Card,35
PNR738929,PX1217,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Economy,9470.7,473.53,350,10294.23,0.0,Mobile App,1,23B,Confirmed,,Credit Card,5
PNR779163,PX1208,6E101,AMD,GOI,2026-01-09 12:15:00,2026-02-09,Economy,8504.77,425.24,0,8930.01,0.0,Web,1,9B,Confirmed,,UPI,31
PNR305110,PX1825,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,11368.25,568.41,0,11936.66,0.0,Mobile App,1,22D,Cancelled,,Net Banking,40
PNR355441,PX1466,6E101,AMD,GOI,2026-02-06 12:15:00,2026-02-09,Premium,4765.45,238.27,1200,6203.72,0.0,Web,1,24F,Confirmed,,UPI,3
PNR474415,PX1635,6E101,AMD,GOI,2026-02-07 12:15:00,2026-02-09,Economy,15232.96,761.65,350,16344.6,0.0,Mobile App,1,20F,Confirmed,,Net Banking,2
PNR853029,PX1475,6E101,AMD,GOI,2026-02-06 12:15:00,2026-02-09,Economy,6932.55,346.63,600,7879.18,0.0,Web,1,8B,Confirmed,,UPI,3
PNR969412,PX1320,6E101,AMD,GOI,2026-01-26 12:15:00,2026-02-09,Economy,9693.51,484.68,350,10528.18,0.0,Web,1,2A,Confirmed,,Net Banking,14
PNR134935,PX1191,6E101,AMD,GOI,2026-01-03 12:15:00,2026-02-09,Economy,8557.02,427.85,350,9334.87,0.0,Web,1,27E,Confirmed,,UPI,37
PNR881281,PX1720,6E101,AMD,GOI,2025-12-28 12:15:00,2026-02-09,Economy,11648.41,582.42,600,12830.83,0.0,Web,1,29D,Confirmed,,Wallet,43
PNR469119,PX1950,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Premium,4138.34,206.92,0,4345.26,0.0,Web,1,26D,Confirmed,,Wallet,5
PNR989070,PX1349,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,9711.63,485.58,600,10797.22,0.0,Web,1,10B,Confirmed,,Credit Card,40
PNR487672,PX1144,6E101,AMD,GOI,2026-01-31 12:15:00,2026-02-09,Business,8646.2,432.31,350,9428.52,0.0,Web,1,26B,Confirmed,,UPI,9
PNR993667,PX1347,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Economy,4530.41,226.52,350,5106.93,0.0,Mobile App,1,1C,Confirmed,,Credit Card,5
PNR562903,PX1837,6E101,AMD,GOI,2026-01-01 12:15:00,2026-02-09,Business,10684.12,534.21,0,11218.33,0.0,Web,1,13F,Confirmed,,UPI,39
PNR814692,PX1142,6E101,AMD,GOI,2026-01-04 12:15:00,2026-02-09,Economy,6975.76,348.79,600,7924.55,0.0,Web,1,16C,Cancelled,,Credit Card,36
PNR941671,PX1291,6E101,AMD,GOI,2026-02-05 12:15:00,2026-02-09,Business,8174.31,408.72,0,8583.03,0.0,Mobile App,1,12A,Confirmed,,UPI,4
PNR820215,PX1912,6E101,AMD,GOI,2026-02-08 12:15:00,2026-02-09,Economy,8894.8,444.74,350,9689.54,0.0,Mobile App,1,22B,Confirmed,,Credit Card,1
PNR891315,PX1647,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Premium,8165.33,408.27,350,8923.6,0.0,Mobile App,1,29B,Confirmed,,UPI,5
PNR240789,PX1500,6E101,AMD,GOI,2026-02-05 12:15:00,2026-02-09,Economy,4771.62,238.58,0,5010.2,0.0,Web,1,19E,Confirmed,,UPI,4
PNR356481,PX1643,6E101,AMD,GOI,2026-01-05 12:15:00,2026-02-09,Premium,7005.33,350.27,1200,8555.6,0.0,Mobile App,1,29E,Confirmed,,UPI,35
PNR211242,PX1272,6E101,AMD,GOI,2026-01-05 12:15:00,2026-02-09,Economy,9158.06,457.9,350,9965.97,0.0,Mobile App,1,29F,Confirmed,,UPI,35
PNR755516,PX1964,6E101,AMD,GOI,2026-01-22 12:15:00,2026-02-09,Economy,9302.67,465.13,1200,10967.8,0.0,Web,1,17A,Confirmed,,Wallet,18
PNR400855,PX1544,6E101,AMD,GOI,2026-01-12 12:15:00,2026-02-09,Economy,7632.8,381.64,0,8014.44,0.0,Mobile App,1,20F,Confirmed,,UPI,28
PNR712440,PX1157,6E101,AMD,GOI,2026-01-25 12:15:00,2026-02-09,Economy,4381.81,219.09,350,4950.9,0.0,Web,1,16E,Confirmed,,UPI,15
PNR972036,PX1904,6E101,AMD,GOI,2026-01-02 12:15:00,2026-02-09,Economy,4655.19,232.76,350,5237.95,0.0,Mobile App,1,14F,Confirmed,,Credit Card,38
PNR111743,PX1086,6E101,AMD,GOI,2025-12-27 12:15:00,2026-02-09,Economy,7523.81,376.19,600,8500.0,0.0,Web,1,13F,Confirmed,,Credit Card,44
PNR464893,PX1995,6E101,AMD,GOI,2026-01-20 12:15:00,2026-02-09,Economy,4732.97,236.65,600,5569.62,0.0,Mobile App,1,3C,Confirmed,,UPI,20
PNR949089,PX1657,6E101,AMD,GOI,2026-01-02 12:15:00,2026-02-09,Economy,9301.59,465.08,350,10116.67,0.0,OTA,1,20D,Confirmed,,UPI,38
PNR787228,PX1602,6E101,AMD,GOI,2026-01-08 12:15:00,2026-02-09,Economy,11274.63,563.73,0,11838.36,0.0,Mobile App,1,5A,Confirmed,,Credit Card,32
PNR436112,PX1021,6E101,AMD,GOI,2026-01-21 12:15:00,2026-02-09,Economy,3241.13,162.06,0,3403.19,0.0,Web,1,18A,Confirmed,,Credit Card,19
PNR577770,PX1486,6E101,AMD,GOI,2026-02-01 12:15:00,2026-02-09,Economy,3205.6,160.28,600,3965.88,0.0,Web,1,16F,Confirmed,,Credit Card,8
PNR595414,PX1335,6E101,AMD,GOI,2026-01-25 12:15:00,2026-02-09,Economy,9988.12,499.41,0,10487.52,0.0,OTA,1,1B,No-show,,Credit Card,15
PNR323574,PX1885,6E101,AMD,GOI,2026-01-07 12:15:00,2026-02-09,Economy,11765.62,588.28,0,12353.9,0.0,Mobile App,1,18E,Confirmed,,Credit Card,33
PNR493749,PX1563,6E101,AMD,GOI,2026-01-27 12:15:00,2026-02-09,Premium,9556.73,477.84,0,10034.57,0.0,OTA,1,7C,Confirmed,,UPI,13
PNR300322,PX1009,6E101,AMD,GOI,2026-01-10 12:15:00,2026-02-09,Business,6997.86,349.89,350,7697.75,0.0,Web,1,21F,Confirmed,,UPI,30
PNR668833,PX1998,6E101,AMD,GOI,2026-01-02 12:15:00,2026-02-09,Economy,8901.13,445.06,600,9946.18,0.0,Mobile App,1,24A,Confirmed,,UPI,38
PNR284925,PX1337,6E101,AMD,GOI,2025-12-27 12:15:00,2026-02-09,Premium,5369.73,268.49,350,5988.22,0.0,Web,1,6A,Confirmed,,UPI,44
PNR223269,PX1323,6E101,AMD,GOI,2026-01-22 12:15:00,2026-02-09,Economy,10129.12,506.46,1200,11835.58,0.0,Web,1,15E,Confirmed,,UPI,18
PNR753956,PX1941,6E101,AMD,GOI,2026-02-08 12:15:00,2026-02-09,Economy,8728.65,436.43,0,9165.09,0.0,Mobile App,1,25A,Confirmed,,UPI,1
PNR143984,PX1925,6E101,AMD,GOI,2026-01-11 12:15:00,2026-02-09,Premium,9410.45,470.52,0,9880.97,0.0,Web,1,12A,Confirmed,,UPI,29
PNR318413,PX1081,6E101,AMD,GOI,2026-02-04 12:15:00,2026-02-09,Economy,9780.92,489.05,600,10869.97,0.0,Mobile App,1,25B,Confirmed,,Credit Card,5
PNR836369,PX1652,6E101,AMD,GOI,2026-01-22 12:15:00,2026-02-09,Premium,3371.29,168.56,0,3539.86,0.0,Mobile App,1,19F,Confirmed,,UPI,18
PNR249258,PX1302,6E101,AMD,GOI,2026-01-23 12:15:00,2026-02-09,Economy,7904.46,395.22,1200,9499.68,0.0,OTA,1,1C,Confirmed,,Credit Card,17
PNR723230,PX1404,6E101,AMD,GOI,2026-01-13 12:15:00,2026-02-09,Economy,7848.2,392.41,600,8840.61,0.0,Mobile App,1,18D,Confirmed,,Wallet,27
PNR238084,PX1126,6E101,AMD,GOI,2026-02-02 12:15:00,2026-02-09,Economy,11237.65,561.88,350,12149.54,0.0,Mobile App,1,12B,Confirmed,,UPI,7
PNR859059,PX1757,6E101,AMD,GOI,2026-01-01 12:15:00,2026-02-09,Premium,11921.82,596.09,0,12517.91,0.0,Mobile App,1,29F,Confirmed,,Credit Card,39
PNR769014,PX1928,6E101,AMD,GOI,2026-01-08 12:15:00,2026-02-09,Economy,6035.0,301.75,350,6686.75,0.0,Web,1,11A,Confirmed,,Credit Card,32
PNR302472,PX1399,6E101,AMD,GOI,2026-01-30 12:15:00,2026-02-09,Premium,3217.79,160.89,350,3728.68,0.0,Mobile App,1,8A,Confirmed,,Credit Card,10
PNR940656,PX1471,6E101,AMD,GOI,2026-02-02 12:15:00,2026-02-09,Economy,4911.28,245.56,350,5506.85,0.0,Mobile App,1,25F,Confirmed,,Credit Card,7
PNR254801,PX1838,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,9821.39,491.07,1200,11512.46,0.0,Web,1,17C,Confirmed,,UPI,40
PNR908414,PX1013,6E101,AMD,GOI,2026-01-10 12:15:00,2026-02-09,Economy,3615.96,180.8,0,3796.76,0.0,Mobile App,1,29E,Confirmed,,UPI,30
PNR738768,PX1503,6E101,AMD,GOI,2025-12-31 12:15:00,2026-02-09,Economy,10306.0,515.3,0,10821.3,0.0,Web,1,21E,Confirmed,,UPI,40
PNR518789,PX1540,6E101,AMD,GOI,2025-12-27 12:15:00,2026-02-09,Economy,4775.8,238.79,600,5614.59,0.0,Mobile App,1,20A,Confirmed,,UPI,44
PNR608669,PX1170,6E101,AMD,GOI,2026-01-29 12:15:00,2026-02-09,Economy,8801.86,440.09,600,9841.95,0.0,OTA,1,18E,No-show,,Credit Card,11
PNR804932,PX1157,6E101,AMD,GOI,2026-01-15 12:15:00,2026-02-09,Business,11705.74,585.29,350,12641.03,0.0,Mobile App,1,21E,Cancelled,,UPI,25
